"Path","Size","LineCount","HasFrontMatter","BodyLength","MathKeywords","Placeholder","StrongTemplate","Category","Reason"
"E:\_src\FormalMath\docs\00-工作示例库\01-基础数学\占位示例-202.md","332","17","True","46","1","True","False","B","包含占位符且有效正文不足100字"
"E:\_src\FormalMath\docs\00-工作示例库\01-基础数学\占位示例-203.md","332","17","True","46","1","True","False","B","包含占位符且有效正文不足100字"
"E:\_src\FormalMath\docs\00-工作示例库\01-基础数学\占位示例-204.md","332","17","True","46","1","True","False","B","包含占位符且有效正文不足100字"
"E:\_src\FormalMath\docs\00-工作示例库\06-概率统计\19- 熵与信息量-工作示例.md","819","39","True","117","2","False","False","C","行数多但有效内容极少，疑似注水，待重写"
"E:\_src\FormalMath\docs\00-归档\README.md","250","14","False","51","0","False","False","B","正文过短（<80字）且无实质数学内容"
"E:\_src\FormalMath\docs\00-思维导图\README.md","277","14","False","54","2","False","False","B","正文过短（<80字）且无实质数学内容"
"E:\_src\FormalMath\docs\00-知识层次体系\L3-理论建构层\01-代数方向\18-形变量子化.md","826","61","True","137","4","True","False","C","模板化结构，数学实质稀薄，待重写"
"E:\_src\FormalMath\docs\00-知识层次体系\L3-理论建构层\01-代数方向\20-motive理论.md","814","61","True","131","4","True","False","C","模板化结构，数学实质稀薄，待重写"
"E:\_src\FormalMath\docs\00-知识层次体系\L3-理论建构层\01-代数方向\22-Operad理论.md","814","61","True","131","4","True","False","C","模板化结构，数学实质稀薄，待重写"
"E:\_src\FormalMath\docs\00-知识层次体系\L3-理论建构层\01-代数方向\23-Tannaka对偶.md","818","61","True","131","4","True","False","C","模板化结构，数学实质稀薄，待重写"
"E:\_src\FormalMath\docs\00-知识层次体系\L3-理论建构层\02-分析方向\06-变分法理论.md","826","61","True","137","4","True","False","C","模板化结构，数学实质稀薄，待重写"
"E:\_src\FormalMath\docs\00-知识层次体系\L3-理论建构层\02-分析方向\08-分布理论.md","814","61","True","134","4","True","False","C","模板化结构，数学实质稀薄，待重写"
"E:\_src\FormalMath\docs\00-知识层次体系\L3-理论建构层\02-分析方向\11-遍历理论.md","814","61","True","134","4","True","False","C","模板化结构，数学实质稀薄，待重写"
"E:\_src\FormalMath\docs\00-知识层次体系\L3-理论建构层\02-分析方向\12-位势理论.md","814","61","True","134","4","True","False","C","模板化结构，数学实质稀薄，待重写"
"E:\_src\FormalMath\docs\00-知识层次体系\L3-理论建构层\02-分析方向\13-复动力系统.md","826","61","True","137","4","True","False","C","模板化结构，数学实质稀薄，待重写"
"E:\_src\FormalMath\docs\00-知识层次体系\L3-理论建构层\02-分析方向\22-压缩感知.md","814","61","True","134","4","True","False","C","模板化结构，数学实质稀薄，待重写"
"E:\_src\FormalMath\docs\00-知识层次体系\L3-理论建构层\02-分析方向\23-最优输运.md","814","61","True","134","4","True","False","C","模板化结构，数学实质稀薄，待重写"
"E:\_src\FormalMath\docs\00-知识层次体系\L3-理论建构层\04-逻辑数论方向\03-递归论.md","808","61","True","133","4","True","False","C","模板化结构，数学实质稀薄，待重写"
"E:\_src\FormalMath\docs\00-知识层次体系\L3-理论建构层\04-逻辑数论方向\08-Iwasawa理论.md","824","61","True","133","4","True","False","C","模板化结构，数学实质稀薄，待重写"
"E:\_src\FormalMath\docs\00-知识层次体系\L3-理论建构层\04-逻辑数论方向\10-椭圆曲线算术.md","844","61","True","142","4","True","False","C","模板化结构，数学实质稀薄，待重写"
"E:\_src\FormalMath\docs\00-知识层次体系\L3-理论建构层\04-逻辑数论方向\11-自守形式理论.md","844","61","True","142","4","True","False","C","模板化结构，数学实质稀薄，待重写"
"E:\_src\FormalMath\docs\00-知识层次体系\L3-理论建构层\04-逻辑数论方向\13-p进Hodge理论.md","832","61","True","136","4","True","False","C","模板化结构，数学实质稀薄，待重写"
"E:\_src\FormalMath\docs\00-知识层次体系\L3-理论建构层\04-逻辑数论方向\15-高阶递归论.md","832","61","True","139","4","True","False","C","模板化结构，数学实质稀薄，待重写"
"E:\_src\FormalMath\docs\00-知识层次体系\L3-理论建构层\04-逻辑数论方向\19-算术组合.md","820","61","True","136","4","True","False","C","模板化结构，数学实质稀薄，待重写"
"E:\_src\FormalMath\docs\00-证明树\README.md","263","14","False","51","4","False","False","B","文件小于400字节且有效正文不足60字"
"E:\_src\FormalMath\docs\00-贡献者指南\README.md","247","14","False","50","0","False","False","B","正文过短（<80字）且无实质数学内容"
"E:\_src\FormalMath\docs\00-跨学科应用网络\README.md","290","14","False","61","1","False","False","B","正文过短（<80字）且无实质数学内容"
"E:\_src\FormalMath\docs\01-基础数学\证明论-基础.md","321","23","True","51","7","False","False","B","文件小于400字节且有效正文不足60字"
"E:\_src\FormalMath\docs\02-代数结构\02-核心理论\Clifford代数-基础.md","1639","75","True","31","4","False","False","B","有frontmatter但正文不足50字"
"E:\_src\FormalMath\docs\02-代数结构\02-核心理论\Hopf代数-基础.md","1704","85","True","44","7","False","False","B","有frontmatter但正文不足50字"
"E:\_src\FormalMath\docs\03-分析学\分数阶微积分-简介.md","353","21","True","40","7","False","False","B","有frontmatter但正文不足50字"
"E:\_src\FormalMath\docs\03-分析学\微局部分析-简介.md","303","21","True","45","3","False","False","B","有frontmatter但正文不足50字"
"E:\_src\FormalMath\docs\03-分析学\最优传输-简介.md","432","28","True","47","1","False","False","B","有frontmatter但正文不足50字"
"E:\_src\FormalMath\docs\03-分析学\积分方程-基础.md","335","20","True","38","7","False","False","B","有frontmatter但正文不足50字"
"E:\_src\FormalMath\docs\03-分析学\遍历理论-简介.md","378","24","True","52","3","False","False","B","文件小于400字节且有效正文不足60字"
"E:\_src\FormalMath\docs\03-分析学\随机分析-基础.md","392","19","True","39","6","False","False","B","有frontmatter但正文不足50字"
"E:\_src\FormalMath\docs\04-几何与拓扑\K理论-简介.md","1366","67","True","49","9","False","False","B","有frontmatter但正文不足50字"
"E:\_src\FormalMath\docs\04-几何与拓扑\几何群论-基础.md","1343","70","True","49","10","False","False","B","有frontmatter但正文不足50字"
"E:\_src\FormalMath\docs\05-微分方程\README.md","266","14","False","56","5","False","False","B","文件小于400字节且有效正文不足60字"
"E:\_src\FormalMath\docs\05-数论\L函数-简介.md","351","25","True","43","7","False","False","B","有frontmatter但正文不足50字"
"E:\_src\FormalMath\docs\05-数论\p进数-基础.md","304","27","True","29","3","False","False","B","有frontmatter但正文不足50字"
"E:\_src\FormalMath\docs\05-数论\椭圆曲线算术-高级.md","348","21","True","42","1","False","False","B","有frontmatter但正文不足50字"
"E:\_src\FormalMath\docs\06-概率论与统计\时间序列分析-基础.md","362","25","True","39","5","False","False","B","有frontmatter但正文不足50字"
"E:\_src\FormalMath\docs\06-概率论与统计\高维概率-基础.md","364","25","True","46","3","False","False","B","有frontmatter但正文不足50字"
"E:\_src\FormalMath\docs\07-反例与辨析\README.md","284","14","False","58","0","False","False","B","正文过短（<80字）且无实质数学内容"
"E:\_src\FormalMath\docs\07-数值分析\README.md","248","14","False","50","4","False","False","B","文件小于400字节且有效正文不足60字"
"E:\_src\FormalMath\docs\08-计算数学\并行计算-基础.md","459","35","True","58","2","False","False","B","正文过短（<80字）且无实质数学内容"
"E:\_src\FormalMath\docs\08-计算数学\机器学习中的优化算法.md","386","26","True","45","0","False","False","B","有frontmatter但正文不足50字"
"E:\_src\FormalMath\docs\08-计算数学\谱方法-基础.md","306","23","True","36","1","False","False","B","有frontmatter但正文不足50字"
"E:\_src\FormalMath\docs\09-形式化证明\同伦类型论-简介.md","338","25","True","44","1","False","False","B","有frontmatter但正文不足50字"
"E:\_src\FormalMath\docs\10-应用数学\博弈论-基础.md","420","25","True","44","1","False","False","B","有frontmatter但正文不足50字"
"E:\_src\FormalMath\docs\10-应用数学\图神经网络数学-基础.md","377","19","True","39","1","False","False","B","有frontmatter但正文不足50字"
"E:\_src\FormalMath\docs\10-应用数学\生成模型数学-基础.md","346","21","True","34","3","False","False","B","有frontmatter但正文不足50字"
"E:\_src\FormalMath\docs\10-应用数学\神经微分方程-简介.md","268","19","True","36","3","False","False","B","有frontmatter但正文不足50字"
"E:\_src\FormalMath\docs\10-应用数学\量子计算数学-基础.md","539","29","True","65","0","False","False","B","正文过短（<80字）且无实质数学内容"
"E:\_src\FormalMath\docs\11-综合应用\README.md","254","14","False","51","0","False","False","B","正文过短（<80字）且无实质数学内容"
"E:\_src\FormalMath\docs\11-高级数学\指标定理-简介.md","372","21","True","57","6","False","False","B","文件小于400字节且有效正文不足60字"
"E:\_src\FormalMath\docs\11-高级数学\随机矩阵-基础.md","350","22","True","57","7","False","False","B","文件小于400字节且有效正文不足60字"
"E:\_src\FormalMath\docs\11-高级数学\顶点算子代数-简介.md","335","23","True","37","4","False","False","B","有frontmatter但正文不足50字"
"E:\_src\FormalMath\docs\12-代数拓扑\README.md","263","14","False","53","12","False","False","B","文件小于400字节且有效正文不足60字"
"E:\_src\FormalMath\docs\13-数学前沿\README.md","251","14","False","50","6","False","False","B","文件小于400字节且有效正文不足60字"
"E:\_src\FormalMath\docs\21-最优化\组合优化-算法.md","304","21","True","37","0","False","False","B","有frontmatter但正文不足50字"
"E:\_src\FormalMath\docs\21-最优化\鲁棒优化-基础.md","411","24","True","52","1","False","False","B","正文过短（<80字）且无实质数学内容"
"E:\_src\FormalMath\docs\22-控制论\README.md","239","14","False","47","0","False","False","B","正文过短（<80字）且无实质数学内容"
"E:\_src\FormalMath\docs\22-控制论\模型预测控制-基础.md","307","19","True","36","2","False","False","B","有frontmatter但正文不足50字"
"E:\_src\FormalMath\docs\22-控制论\鲁棒控制-基础.md","381","24","True","45","4","False","False","B","有frontmatter但正文不足50字"
"E:\_src\FormalMath\docs\23-优化理论\README.md","242","14","False","48","0","False","False","B","正文过短（<80字）且无实质数学内容"
"E:\_src\FormalMath\docs\23-信息论\README.md","242","14","False","48","0","False","False","B","正文过短（<80字）且无实质数学内容"
"E:\_src\FormalMath\docs\23-信息论\量子信息论-简介.md","354","25","True","47","2","False","False","B","有frontmatter但正文不足50字"
"E:\_src\FormalMath\docs\24-密码学\README.md","236","14","False","47","4","False","False","B","文件小于400字节且有效正文不足60字"
"E:\_src\FormalMath\docs\25-金融数学\README.md","269","14","False","55","2","False","False","B","正文过短（<80字）且无实质数学内容"
"E:\_src\FormalMath\docs\25-金融数学\利率模型-基础.md","353","25","True","52","6","False","False","B","文件小于400字节且有效正文不足60字"
"E:\_src\FormalMath\docs\26-生物数学\神经网络数学-基础.md","477","24","True","57","1","False","False","B","正文过短（<80字）且无实质数学内容"
"E:\_src\FormalMath\docs\26-生物数学\系统生物学-网络模型.md","273","20","True","34","3","False","False","B","有frontmatter但正文不足50字"
"E:\_src\FormalMath\docs\29-数据科学\README.md","275","14","False","56","0","False","False","B","正文过短（<80字）且无实质数学内容"
"E:\_src\FormalMath\docs\29-数据科学\因果推断-基础.md","450","30","True","69","1","False","False","B","正文过短（<80字）且无实质数学内容"
"E:\_src\FormalMath\docs\29-数据科学\联邦学习数学-基础.md","287","19","True","40","2","False","False","B","有frontmatter但正文不足50字"
"E:\_src\FormalMath\docs\99-归档文档\00-README.md","545","34","True","79","0","False","False","B","正文过短（<80字）且无实质数学内容"
"E:\_src\FormalMath\docs\generated\api\modules\api.md","687","65","True","67","1","False","False","B","正文过短（<80字）且无实质数学内容"
"E:\_src\FormalMath\docs\generated\api\modules\assessment_system.md","887","63","True","103","0","False","False","C","行数多但有效内容极少，疑似注水，待重写"
"E:\_src\FormalMath\docs\generated\api\modules\concept_graph_generator.md","687","58","True","80","2","False","False","C","行数多但有效内容极少，疑似注水，待重写"
"E:\_src\FormalMath\docs\generated\api\modules\config.md","837","77","True","96","1","False","False","C","行数多但有效内容极少，疑似注水，待重写"
"E:\_src\FormalMath\docs\generated\api\modules\demo_demo.md","940","85","True","112","2","False","False","C","行数多但有效内容极少，疑似注水，待重写"
"E:\_src\FormalMath\docs\generated\api\modules\diagnosis_engine.md","891","83","True","94","1","False","False","C","行数多但有效内容极少，疑似注水，待重写"
"E:\_src\FormalMath\docs\generated\api\modules\feedback_generator.md","1067","94","True","119","1","False","False","C","行数多但有效内容极少，疑似注水，待重写"
"E:\_src\FormalMath\docs\generated\api\modules\issue_extractor.md","677","65","True","66","2","False","False","B","正文过短（<80字）且无实质数学内容"
"E:\_src\FormalMath\docs\generated\api\modules\main.md","874","85","True","106","2","False","False","C","行数多但有效内容极少，疑似注水，待重写"
"E:\_src\FormalMath\docs\generated\api\modules\msc_annotation_phase2.md","947","82","True","116","2","False","False","C","行数多但有效内容极少，疑似注水，待重写"
"E:\_src\FormalMath\docs\generated\api\modules\msc_final_report.md","807","70","True","107","1","False","False","C","行数多但有效内容极少，疑似注水，待重写"
"E:\_src\FormalMath\docs\generated\api\modules\path_visualization.md","1023","88","True","106","1","False","False","C","行数多但有效内容极少，疑似注水，待重写"
"E:\_src\FormalMath\docs\generated\api\modules\quality_assessor.md","1107","101","True","104","2","False","False","C","行数多但有效内容极少，疑似注水，待重写"
"E:\_src\FormalMath\docs\generated\api\modules\recommendation_engine.md","934","83","True","101","1","False","False","C","行数多但有效内容极少，疑似注水，待重写"
"E:\_src\FormalMath\docs\generated\api\modules\version_control.md","674","65","True","66","2","False","False","B","正文过短（<80字）且无实质数学内容"
"E:\_src\FormalMath\docs\generated\i18n\en\00-README.md","909","49","True","113","0","False","False","C","行数多但有效内容极少，疑似注水，待重写"
"E:\_src\FormalMath\docs\generated\i18n\zh\00-README.md","706","42","True","92","1","False","False","C","行数多但有效内容极少，疑似注水，待重写"
"E:\_src\FormalMath\docs\visualizations\应用\密码学\03-椭圆曲线密码.md","593","32","True","77","1","False","False","B","正文过短（<80字）且无实质数学内容"
"E:\_src\FormalMath\docs\visualizations\应用\计算机科学\03-图神经网络.md","596","32","True","76","1","False","False","B","正文过短（<80字）且无实质数学内容"
"E:\_src\FormalMath\docs\visualizations\概念\几何学\11-极小曲面.md","546","31","True","69","0","False","False","B","正文过短（<80字）且无实质数学内容"
"E:\_src\FormalMath\docs\visualizations\概念\数论\01-p进数直观.md","592","35","True","87","2","False","False","C","行数多但有效内容极少，疑似注水，待重写"
"E:\_src\FormalMath\docs\visualizations\证明\05-抽屉原理.md","561","33","True","71","2","False","False","B","正文过短（<80字）且无实质数学内容"
